period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3
2024-08-08T00:00:00-04:00,2024-08-08T01:00:00-04:00,2024-08-08T04:00:00+00:00,2024-08-08T05:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T01:00:00-04:00,2024-08-08T02:00:00-04:00,2024-08-08T05:00:00+00:00,2024-08-08T06:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T02:00:00-04:00,2024-08-08T03:00:00-04:00,2024-08-08T06:00:00+00:00,2024-08-08T07:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T03:00:00-04:00,2024-08-08T04:00:00-04:00,2024-08-08T07:00:00+00:00,2024-08-08T08:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T04:00:00-04:00,2024-08-08T05:00:00-04:00,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T05:00:00-04:00,2024-08-08T06:00:00-04:00,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T06:00:00-04:00,2024-08-08T07:00:00-04:00,2024-08-08T10:00:00+00:00,2024-08-08T11:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T07:00:00-04:00,2024-08-08T08:00:00-04:00,2024-08-08T11:00:00+00:00,2024-08-08T12:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T08:00:00-04:00,2024-08-08T09:00:00-04:00,2024-08-08T12:00:00+00:00,2024-08-08T13:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T09:00:00-04:00,2024-08-08T10:00:00-04:00,2024-08-08T13:00:00+00:00,2024-08-08T14:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T10:00:00-04:00,2024-08-08T11:00:00-04:00,2024-08-08T14:00:00+00:00,2024-08-08T15:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T11:00:00-04:00,2024-08-08T12:00:00-04:00,2024-08-08T15:00:00+00:00,2024-08-08T16:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T12:00:00-04:00,2024-08-08T13:00:00-04:00,2024-08-08T16:00:00+00:00,2024-08-08T17:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T13:00:00-04:00,2024-08-08T14:00:00-04:00,2024-08-08T17:00:00+00:00,2024-08-08T18:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T14:00:00-04:00,2024-08-08T15:00:00-04:00,2024-08-08T18:00:00+00:00,2024-08-08T19:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T15:00:00-04:00,2024-08-08T16:00:00-04:00,2024-08-08T19:00:00+00:00,2024-08-08T20:00:00+00:00,MOD-00343,0,,,,,,,,,
2024-08-08T16:00:00-04:00,2024-08-08T17:00:00-04:00,2024-08-08T20:00:00+00:00,2024-08-08T21:00:00+00:00,MOD-00343,30,,,,,,,,,
2024-08-08T17:00:00-04:00,2024-08-08T18:00:00-04:00,2024-08-08T21:00:00+00:00,2024-08-08T22:00:00+00:00,MOD-00343,60,59.348,23.91,4.19,4.715,14.03,,,,
2024-08-08T18:00:00-04:00,2024-08-08T19:00:00-04:00,2024-08-08T22:00:00+00:00,2024-08-08T23:00:00+00:00,MOD-00343,60,64.813,22.202,4.217,4.768,15.793,629.689,1.94,6.794,69.05
2024-08-08T19:00:00-04:00,2024-08-08T20:00:00-04:00,2024-08-08T23:00:00+00:00,2024-08-09T00:00:00+00:00,MOD-00343,60,69.795,21.013,4.19,4.897,16.09,571.776,1.89,8.251,57.347
2024-08-08T20:00:00-04:00,2024-08-08T21:00:00-04:00,2024-08-09T00:00:00+00:00,2024-08-09T01:00:00+00:00,MOD-00343,60,82.24,19.725,4.225,5.138,9.254,540.386,1.705,9.204,50.944
2024-08-08T21:00:00-04:00,2024-08-08T22:00:00-04:00,2024-08-09T01:00:00+00:00,2024-08-09T02:00:00+00:00,MOD-00343,60,85.088,19.44,4.4,5.513,11.923,510.846,2.143,9.226,45.986
2024-08-08T22:00:00-04:00,2024-08-08T23:00:00-04:00,2024-08-09T02:00:00+00:00,2024-08-09T03:00:00+00:00,MOD-00343,60,85.11,19.608,4.356,5.816,21.733,468.709,2.129,2.414,42.956
2024-08-08T23:00:00-04:00,2024-08-09T00:00:00-04:00,2024-08-09T03:00:00+00:00,2024-08-09T04:00:00+00:00,MOD-00343,60,84.617,19.77,4.325,5.524,15.636,444.679,2.199,1.046,40.366
2024-08-09T00:00:00-04:00,2024-08-09T01:00:00-04:00,2024-08-09T04:00:00+00:00,2024-08-09T05:00:00+00:00,MOD-00343,60,85.435,19.732,4.295,5.919,22.229,411.811,2.194,1.039,39.887
2024-08-09T01:00:00-04:00,2024-08-09T02:00:00-04:00,2024-08-09T05:00:00+00:00,2024-08-09T06:00:00+00:00,MOD-00343,60,87.538,19.548,3.689,5.027,75.25,392.549,2.403,1.391,40.722
2024-08-09T02:00:00-04:00,2024-08-09T03:00:00-04:00,2024-08-09T06:00:00+00:00,2024-08-09T07:00:00+00:00,MOD-00343,60,89.098,19.458,3.194,3.911,33.377,382.327,2.538,4.826,39.047
2024-08-09T03:00:00-04:00,2024-08-09T04:00:00-04:00,2024-08-09T07:00:00+00:00,2024-08-09T08:00:00+00:00,MOD-00343,60,89.038,19.553,3.296,4.533,9.986,379.77,2.467,4.091,37.457
2024-08-09T04:00:00-04:00,2024-08-09T05:00:00-04:00,2024-08-09T08:00:00+00:00,2024-08-09T09:00:00+00:00,MOD-00343,60,88.86,19.737,2.511,3.628,10.682,374.299,2.41,2.605,36.135
2024-08-09T05:00:00-04:00,2024-08-09T06:00:00-04:00,2024-08-09T09:00:00+00:00,2024-08-09T10:00:00+00:00,MOD-00343,60,89.933,19.8,3.006,3.768,17.821,383.355,2.382,5.887,34.668
2024-08-09T06:00:00-04:00,2024-08-09T07:00:00-04:00,2024-08-09T10:00:00+00:00,2024-08-09T11:00:00+00:00,MOD-00343,60,90.72,19.957,4.045,5.591,59.059,426.383,2.364,7.753,31.83
2024-08-09T07:00:00-04:00,2024-08-09T08:00:00-04:00,2024-08-09T11:00:00+00:00,2024-08-09T12:00:00+00:00,MOD-00343,60,90.967,20.317,4.699,6.478,79.367,474.544,2.281,9.059,30.063
2024-08-09T08:00:00-04:00,2024-08-09T09:00:00-04:00,2024-08-09T12:00:00+00:00,2024-08-09T13:00:00+00:00,MOD-00343,60,90.53,21.127,5.745,7.596,60.019,524.182,2.123,5.948,29.799
2024-08-09T09:00:00-04:00,2024-08-09T10:00:00-04:00,2024-08-09T13:00:00+00:00,2024-08-09T14:00:00+00:00,MOD-00343,60,87.238,22.513,6.637,8.703,17.049,578.502,2.066,1.299,29.276
2024-08-09T10:00:00-04:00,2024-08-09T11:00:00-04:00,2024-08-09T14:00:00+00:00,2024-08-09T15:00:00+00:00,MOD-00343,60,86.288,23.33,7.246,9.752,23.754,624.387,1.897,1.961,29.793
2024-08-09T11:00:00-04:00,2024-08-09T12:00:00-04:00,2024-08-09T15:00:00+00:00,2024-08-09T16:00:00+00:00,MOD-00343,60,83.382,25.292,10.156,13.562,48.568,739.269,7.971,2.389,35.227
2024-08-09T12:00:00-04:00,2024-08-09T13:00:00-04:00,2024-08-09T16:00:00+00:00,2024-08-09T17:00:00+00:00,MOD-00343,60,71.338,29.395,6.448,8.825,24.047,654.543,17.093,5.132,42.108
2024-08-09T13:00:00-04:00,2024-08-09T14:00:00-04:00,2024-08-09T17:00:00+00:00,2024-08-09T18:00:00+00:00,MOD-00343,60,59.73,32.55,4.106,6.913,25.639,516.439,17.753,3.778,47.678
2024-08-09T14:00:00-04:00,2024-08-09T15:00:00-04:00,2024-08-09T18:00:00+00:00,2024-08-09T19:00:00+00:00,MOD-00343,60,53.86,33.757,3.589,6.596,26.84,481.14,14.902,4.442,53.496
2024-08-09T15:00:00-04:00,2024-08-09T16:00:00-04:00,2024-08-09T19:00:00+00:00,2024-08-09T20:00:00+00:00,MOD-00343,60,54.8,33.27,3.325,6.63,25.587,466.736,6.453,3.394,54.251
2024-08-09T16:00:00-04:00,2024-08-09T17:00:00-04:00,2024-08-09T20:00:00+00:00,2024-08-09T21:00:00+00:00,MOD-00343,60,56.963,32.695,2.977,6.613,29.806,460.467,4.39,4.242,53.185
2024-08-09T17:00:00-04:00,2024-08-09T18:00:00-04:00,2024-08-09T21:00:00+00:00,2024-08-09T22:00:00+00:00,MOD-00343,60,59.438,31.777,3.135,7.323,33.402,448.988,2.401,6.437,50.833
2024-08-09T18:00:00-04:00,2024-08-09T19:00:00-04:00,2024-08-09T22:00:00+00:00,2024-08-09T23:00:00+00:00,MOD-00343,60,63.803,30.458,3.242,7.847,37.095,435.502,1.947,9.997,47.172
2024-08-09T19:00:00-04:00,2024-08-09T20:00:00-04:00,2024-08-09T23:00:00+00:00,2024-08-10T00:00:00+00:00,MOD-00343,60,66.512,29.587,3.26,8.607,47.11,412.865,1.677,8.225,45.024
2024-08-09T20:00:00-04:00,2024-08-09T21:00:00-04:00,2024-08-10T00:00:00+00:00,2024-08-10T01:00:00+00:00,MOD-00343,60,71.128,28.778,3.349,9.214,43.957,403.781,1.676,4.486,44.463
2024-08-09T21:00:00-04:00,2024-08-09T22:00:00-04:00,2024-08-10T01:00:00+00:00,2024-08-10T02:00:00+00:00,MOD-00343,60,73.142,28.34,3.732,9.914,47.583,401.33,1.608,5.954,43.888
2024-08-09T22:00:00-04:00,2024-08-09T23:00:00-04:00,2024-08-10T02:00:00+00:00,2024-08-10T03:00:00+00:00,MOD-00343,60,77.93,27.482,3.682,10.514,48.451,386.659,1.398,8.598,42.308
2024-08-09T23:00:00-04:00,2024-08-10T00:00:00-04:00,2024-08-10T03:00:00+00:00,2024-08-10T04:00:00+00:00,MOD-00343,60,84.81,26.197,2.883,8.62,25.543,383.04,1.393,5.524,41.077
2024-08-10T00:00:00-04:00,2024-08-10T01:00:00-04:00,2024-08-10T04:00:00+00:00,2024-08-10T05:00:00+00:00,MOD-00343,60,85.943,25.707,2.899,7.224,22.492,382.993,1.4,3.157,38.431
2024-08-10T01:00:00-04:00,2024-08-10T02:00:00-04:00,2024-08-10T05:00:00+00:00,2024-08-10T06:00:00+00:00,MOD-00343,60,85.893,25.697,2.814,5.84,14.345,377.825,1.381,2.695,37.68
2024-08-10T02:00:00-04:00,2024-08-10T03:00:00-04:00,2024-08-10T06:00:00+00:00,2024-08-10T07:00:00+00:00,MOD-00343,60,84.937,25.368,1.203,2.017,4.729,371.171,1.386,1.853,38.076
2024-08-10T03:00:00-04:00,2024-08-10T04:00:00-04:00,2024-08-10T07:00:00+00:00,2024-08-10T08:00:00+00:00,MOD-00343,60,83.63,25.145,1.376,2.087,6.396,370.544,1.368,1.404,39.356
2024-08-10T04:00:00-04:00,2024-08-10T05:00:00-04:00,2024-08-10T08:00:00+00:00,2024-08-10T09:00:00+00:00,MOD-00343,60,86.292,24.768,1.378,2.218,5.404,376.724,1.495,2.184,38.022
2024-08-10T05:00:00-04:00,2024-08-10T06:00:00-04:00,2024-08-10T09:00:00+00:00,2024-08-10T10:00:00+00:00,MOD-00343,60,87.415,24.61,0.812,1.278,3.688,382.591,1.62,2.476,34.094
2024-08-10T06:00:00-04:00,2024-08-10T07:00:00-04:00,2024-08-10T10:00:00+00:00,2024-08-10T11:00:00+00:00,MOD-00343,60,86.773,24.805,0.61,1.007,3.827,386.534,1.529,2.294,30.508
2024-08-10T07:00:00-04:00,2024-08-10T08:00:00-04:00,2024-08-10T11:00:00+00:00,2024-08-10T12:00:00+00:00,MOD-00343,60,86.167,25.077,0.659,1.124,3.878,396.022,1.403,2.098,27.908
2024-08-10T08:00:00-04:00,2024-08-10T09:00:00-04:00,2024-08-10T12:00:00+00:00,2024-08-10T13:00:00+00:00,MOD-00343,60,82.615,25.69,1.009,1.288,3.321,399.467,1.326,2.049,30.367
2024-08-10T09:00:00-04:00,2024-08-10T10:00:00-04:00,2024-08-10T13:00:00+00:00,2024-08-10T14:00:00+00:00,MOD-00343,60,74.902,27.203,1.731,2.005,4.025,396.062,1.592,2.487,34.253
2024-08-10T10:00:00-04:00,2024-08-10T11:00:00-04:00,2024-08-10T14:00:00+00:00,2024-08-10T15:00:00+00:00,MOD-00343,60,65.842,28.907,2.997,3.3,6.218,396.576,2.267,2.396,37.714
