period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3
2024-08-08T00:00:00-04:00,2024-08-08T01:00:00-04:00,2024-08-08T04:00:00+00:00,2024-08-08T05:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T01:00:00-04:00,2024-08-08T02:00:00-04:00,2024-08-08T05:00:00+00:00,2024-08-08T06:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T02:00:00-04:00,2024-08-08T03:00:00-04:00,2024-08-08T06:00:00+00:00,2024-08-08T07:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T03:00:00-04:00,2024-08-08T04:00:00-04:00,2024-08-08T07:00:00+00:00,2024-08-08T08:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T04:00:00-04:00,2024-08-08T05:00:00-04:00,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T05:00:00-04:00,2024-08-08T06:00:00-04:00,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T06:00:00-04:00,2024-08-08T07:00:00-04:00,2024-08-08T10:00:00+00:00,2024-08-08T11:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T07:00:00-04:00,2024-08-08T08:00:00-04:00,2024-08-08T11:00:00+00:00,2024-08-08T12:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T08:00:00-04:00,2024-08-08T09:00:00-04:00,2024-08-08T12:00:00+00:00,2024-08-08T13:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T09:00:00-04:00,2024-08-08T10:00:00-04:00,2024-08-08T13:00:00+00:00,2024-08-08T14:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T10:00:00-04:00,2024-08-08T11:00:00-04:00,2024-08-08T14:00:00+00:00,2024-08-08T15:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T11:00:00-04:00,2024-08-08T12:00:00-04:00,2024-08-08T15:00:00+00:00,2024-08-08T16:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T12:00:00-04:00,2024-08-08T13:00:00-04:00,2024-08-08T16:00:00+00:00,2024-08-08T17:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T13:00:00-04:00,2024-08-08T14:00:00-04:00,2024-08-08T17:00:00+00:00,2024-08-08T18:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T14:00:00-04:00,2024-08-08T15:00:00-04:00,2024-08-08T18:00:00+00:00,2024-08-08T19:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T15:00:00-04:00,2024-08-08T16:00:00-04:00,2024-08-08T19:00:00+00:00,2024-08-08T20:00:00+00:00,MOD-00170,0,,,,,,,,,
2024-08-08T16:00:00-04:00,2024-08-08T17:00:00-04:00,2024-08-08T20:00:00+00:00,2024-08-08T21:00:00+00:00,MOD-00170,35,,,,,,,,,
2024-08-08T17:00:00-04:00,2024-08-08T18:00:00-04:00,2024-08-08T21:00:00+00:00,2024-08-08T22:00:00+00:00,MOD-00170,60,59.073,23.868,5.231,5.858,17.876,,,,
2024-08-08T18:00:00-04:00,2024-08-08T19:00:00-04:00,2024-08-08T22:00:00+00:00,2024-08-08T23:00:00+00:00,MOD-00170,60,64.525,22.103,5.292,5.939,19.745,524.472,2.216,26.632,45.681
2024-08-08T19:00:00-04:00,2024-08-08T20:00:00-04:00,2024-08-08T23:00:00+00:00,2024-08-09T00:00:00+00:00,MOD-00170,60,69.347,20.918,5.16,5.955,18.324,484.04,2.051,32.499,33.991
2024-08-08T20:00:00-04:00,2024-08-08T21:00:00-04:00,2024-08-09T00:00:00+00:00,2024-08-09T01:00:00+00:00,MOD-00170,60,81.827,19.622,5.124,5.964,9.117,454.443,1.71,37.727,25.029
2024-08-08T21:00:00-04:00,2024-08-08T22:00:00-04:00,2024-08-09T01:00:00+00:00,2024-08-09T02:00:00+00:00,MOD-00170,60,84.925,19.318,5.313,6.34,12.9,427.901,1.859,33.774,25.033
2024-08-08T22:00:00-04:00,2024-08-08T23:00:00-04:00,2024-08-09T02:00:00+00:00,2024-08-09T03:00:00+00:00,MOD-00170,60,85.027,19.448,5.347,6.818,21.11,387.616,1.897,28.741,24.312
2024-08-08T23:00:00-04:00,2024-08-09T00:00:00-04:00,2024-08-09T03:00:00+00:00,2024-08-09T04:00:00+00:00,MOD-00170,60,84.573,19.615,5.305,6.471,18.546,364.459,1.831,23.671,23.255
2024-08-09T00:00:00-04:00,2024-08-09T01:00:00-04:00,2024-08-09T04:00:00+00:00,2024-08-09T05:00:00+00:00,MOD-00170,60,85.435,19.567,5.23,6.883,24.72,331.796,1.936,14.787,22.57
2024-08-09T01:00:00-04:00,2024-08-09T02:00:00-04:00,2024-08-09T05:00:00+00:00,2024-08-09T06:00:00+00:00,MOD-00170,60,87.415,19.438,4.436,5.671,66.774,313.646,2.099,12.904,23.359
2024-08-09T02:00:00-04:00,2024-08-09T03:00:00-04:00,2024-08-09T06:00:00+00:00,2024-08-09T07:00:00+00:00,MOD-00170,60,88.595,19.407,3.979,4.636,30.484,304.605,2.321,12.565,22.753
2024-08-09T03:00:00-04:00,2024-08-09T04:00:00-04:00,2024-08-09T07:00:00+00:00,2024-08-09T08:00:00+00:00,MOD-00170,60,88.612,19.5,4.046,5.192,10.494,301.649,2.23,12.554,21.976
2024-08-09T04:00:00-04:00,2024-08-09T05:00:00-04:00,2024-08-09T08:00:00+00:00,2024-08-09T09:00:00+00:00,MOD-00170,60,88.663,19.615,3.022,4.048,11.232,296.632,2.238,12.548,20.758
2024-08-09T05:00:00-04:00,2024-08-09T06:00:00-04:00,2024-08-09T09:00:00+00:00,2024-08-09T10:00:00+00:00,MOD-00170,60,89.468,19.715,3.664,4.351,18.417,306.835,2.433,12.56,18.422
2024-08-09T06:00:00-04:00,2024-08-09T07:00:00-04:00,2024-08-09T10:00:00+00:00,2024-08-09T11:00:00+00:00,MOD-00170,60,89.967,19.92,4.932,6.354,49.08,348.67,2.543,12.586,15.745
2024-08-09T07:00:00-04:00,2024-08-09T08:00:00-04:00,2024-08-09T11:00:00+00:00,2024-08-09T12:00:00+00:00,MOD-00170,60,90.178,20.29,5.617,7.159,79.136,395.471,2.405,12.612,13.884
2024-08-09T08:00:00-04:00,2024-08-09T09:00:00-04:00,2024-08-09T12:00:00+00:00,2024-08-09T13:00:00+00:00,MOD-00170,60,89.717,21.138,6.986,8.585,51.49,443.417,2.289,12.514,14.374
2024-08-09T09:00:00-04:00,2024-08-09T10:00:00-04:00,2024-08-09T13:00:00+00:00,2024-08-09T14:00:00+00:00,MOD-00170,60,86.278,22.635,8.321,10.283,19.809,496.742,1.696,9.199,16.08
2024-08-09T10:00:00-04:00,2024-08-09T11:00:00-04:00,2024-08-09T14:00:00+00:00,2024-08-09T15:00:00+00:00,MOD-00170,60,84.927,23.493,8.888,11.127,23.242,539.385,1.368,9.122,14.702
2024-08-09T11:00:00-04:00,2024-08-09T12:00:00-04:00,2024-08-09T15:00:00+00:00,2024-08-09T16:00:00+00:00,MOD-00170,60,82.327,25.495,12.304,15.605,48.802,654.544,2.07,11.762,21.498
2024-08-09T12:00:00-04:00,2024-08-09T13:00:00-04:00,2024-08-09T16:00:00+00:00,2024-08-09T17:00:00+00:00,MOD-00170,60,71.493,29.535,7.604,10.227,29.019,550.007,3.895,8.116,32.898
2024-08-09T13:00:00-04:00,2024-08-09T14:00:00-04:00,2024-08-09T17:00:00+00:00,2024-08-09T18:00:00+00:00,MOD-00170,60,61.083,32.323,4.53,7.673,27.289,389.351,2.091,6.238,36.183
2024-08-09T14:00:00-04:00,2024-08-09T15:00:00-04:00,2024-08-09T18:00:00+00:00,2024-08-09T19:00:00+00:00,MOD-00170,60,55.342,33.427,3.925,7.286,29.713,342.683,1.955,6.968,35.451
2024-08-09T15:00:00-04:00,2024-08-09T16:00:00-04:00,2024-08-09T19:00:00+00:00,2024-08-09T20:00:00+00:00,MOD-00170,60,55.692,33.12,3.703,7.439,32.297,337.985,2.038,5.969,32.961
2024-08-09T16:00:00-04:00,2024-08-09T17:00:00-04:00,2024-08-09T20:00:00+00:00,2024-08-09T21:00:00+00:00,MOD-00170,60,57.642,32.592,3.267,7.271,32.483,335.886,1.98,5.808,31.043
2024-08-09T17:00:00-04:00,2024-08-09T18:00:00-04:00,2024-08-09T21:00:00+00:00,2024-08-09T22:00:00+00:00,MOD-00170,60,60.132,31.713,3.453,8.189,41.004,330.57,2.02,4.785,27.738
2024-08-09T18:00:00-04:00,2024-08-09T19:00:00-04:00,2024-08-09T22:00:00+00:00,2024-08-09T23:00:00+00:00,MOD-00170,60,64.357,30.442,3.657,8.968,43.565,323.912,1.941,3.632,24.605
2024-08-09T19:00:00-04:00,2024-08-09T20:00:00-04:00,2024-08-09T23:00:00+00:00,2024-08-10T00:00:00+00:00,MOD-00170,60,66.847,29.643,3.606,9.773,51.953,307.762,1.79,3.952,24.091
2024-08-09T20:00:00-04:00,2024-08-09T21:00:00-04:00,2024-08-10T00:00:00+00:00,2024-08-10T01:00:00+00:00,MOD-00170,60,71.498,28.833,3.675,10.514,53.106,303.694,1.688,11.078,22.726
2024-08-09T21:00:00-04:00,2024-08-09T22:00:00-04:00,2024-08-10T01:00:00+00:00,2024-08-10T02:00:00+00:00,MOD-00170,60,73.595,28.37,4.169,11.427,52.169,304.749,1.55,21.334,24.753
2024-08-09T22:00:00-04:00,2024-08-09T23:00:00-04:00,2024-08-10T02:00:00+00:00,2024-08-10T03:00:00+00:00,MOD-00170,60,77.775,27.657,4.16,12.302,54.463,293.156,1.466,13.75,21.6
2024-08-09T23:00:00-04:00,2024-08-10T00:00:00-04:00,2024-08-10T03:00:00+00:00,2024-08-10T04:00:00+00:00,MOD-00170,60,82.63,26.635,3.349,9.523,28.65,291.589,1.476,15.318,20.395
2024-08-10T00:00:00-04:00,2024-08-10T01:00:00-04:00,2024-08-10T04:00:00+00:00,2024-08-10T05:00:00+00:00,MOD-00170,60,83.663,26.257,3.476,8.176,22.055,294.073,1.476,7.014,22.954
2024-08-10T01:00:00-04:00,2024-08-10T02:00:00-04:00,2024-08-10T05:00:00+00:00,2024-08-10T06:00:00+00:00,MOD-00170,60,84.388,26.16,3.397,6.713,15.052,291.428,1.404,6.66,22.335
2024-08-10T02:00:00-04:00,2024-08-10T03:00:00-04:00,2024-08-10T06:00:00+00:00,2024-08-10T07:00:00+00:00,MOD-00170,60,83.87,25.738,1.394,2.321,5.016,285.793,1.377,6.698,25.761
2024-08-10T03:00:00-04:00,2024-08-10T04:00:00-04:00,2024-08-10T07:00:00+00:00,2024-08-10T08:00:00+00:00,MOD-00170,60,82.883,25.497,1.613,2.425,7.29,285.548,1.435,7.21,26.729
2024-08-10T04:00:00-04:00,2024-08-10T05:00:00-04:00,2024-08-10T08:00:00+00:00,2024-08-10T09:00:00+00:00,MOD-00170,60,85.953,25.062,1.669,2.623,6.283,292.751,1.463,7.3,23.248
