period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3
2024-08-08T00:00:00-04:00,2024-08-08T01:00:00-04:00,2024-08-08T04:00:00+00:00,2024-08-08T05:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T01:00:00-04:00,2024-08-08T02:00:00-04:00,2024-08-08T05:00:00+00:00,2024-08-08T06:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T02:00:00-04:00,2024-08-08T03:00:00-04:00,2024-08-08T06:00:00+00:00,2024-08-08T07:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T03:00:00-04:00,2024-08-08T04:00:00-04:00,2024-08-08T07:00:00+00:00,2024-08-08T08:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T04:00:00-04:00,2024-08-08T05:00:00-04:00,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T05:00:00-04:00,2024-08-08T06:00:00-04:00,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T06:00:00-04:00,2024-08-08T07:00:00-04:00,2024-08-08T10:00:00+00:00,2024-08-08T11:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T07:00:00-04:00,2024-08-08T08:00:00-04:00,2024-08-08T11:00:00+00:00,2024-08-08T12:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T08:00:00-04:00,2024-08-08T09:00:00-04:00,2024-08-08T12:00:00+00:00,2024-08-08T13:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T09:00:00-04:00,2024-08-08T10:00:00-04:00,2024-08-08T13:00:00+00:00,2024-08-08T14:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T10:00:00-04:00,2024-08-08T11:00:00-04:00,2024-08-08T14:00:00+00:00,2024-08-08T15:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T11:00:00-04:00,2024-08-08T12:00:00-04:00,2024-08-08T15:00:00+00:00,2024-08-08T16:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T12:00:00-04:00,2024-08-08T13:00:00-04:00,2024-08-08T16:00:00+00:00,2024-08-08T17:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T13:00:00-04:00,2024-08-08T14:00:00-04:00,2024-08-08T17:00:00+00:00,2024-08-08T18:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T14:00:00-04:00,2024-08-08T15:00:00-04:00,2024-08-08T18:00:00+00:00,2024-08-08T19:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T15:00:00-04:00,2024-08-08T16:00:00-04:00,2024-08-08T19:00:00+00:00,2024-08-08T20:00:00+00:00,MOD-00181,0,,,,,,,,,
2024-08-08T16:00:00-04:00,2024-08-08T17:00:00-04:00,2024-08-08T20:00:00+00:00,2024-08-08T21:00:00+00:00,MOD-00181,31,,,,,,,,,
2024-08-08T17:00:00-04:00,2024-08-08T18:00:00-04:00,2024-08-08T21:00:00+00:00,2024-08-08T22:00:00+00:00,MOD-00181,60,59.728,23.712,5.42,5.942,15.334,,,,
2024-08-08T18:00:00-04:00,2024-08-08T19:00:00-04:00,2024-08-08T22:00:00+00:00,2024-08-08T23:00:00+00:00,MOD-00181,60,64.805,22.037,5.456,6.02,17.357,551.335,2.194,36.802,43.636
2024-08-08T19:00:00-04:00,2024-08-08T20:00:00-04:00,2024-08-08T23:00:00+00:00,2024-08-09T00:00:00+00:00,MOD-00181,60,69.407,20.898,5.321,6.056,17.951,506.137,2.039,33.159,36.045
2024-08-08T20:00:00-04:00,2024-08-08T21:00:00-04:00,2024-08-09T00:00:00+00:00,2024-08-09T01:00:00+00:00,MOD-00181,60,80.867,19.765,5.444,6.35,10.398,474.293,1.617,46.588,30.821
2024-08-08T21:00:00-04:00,2024-08-08T22:00:00-04:00,2024-08-09T01:00:00+00:00,2024-08-09T02:00:00+00:00,MOD-00181,60,83.667,19.505,5.672,6.812,16.167,444.575,1.816,44.676,26.032
2024-08-08T22:00:00-04:00,2024-08-08T23:00:00-04:00,2024-08-09T02:00:00+00:00,2024-08-09T03:00:00+00:00,MOD-00181,60,83.892,19.623,5.63,7.141,22.546,404.922,1.817,41.73,23.56
2024-08-08T23:00:00-04:00,2024-08-09T00:00:00-04:00,2024-08-09T03:00:00+00:00,2024-08-09T04:00:00+00:00,MOD-00181,60,83.587,19.772,5.615,6.837,20.067,380.736,1.814,39.915,21.64
2024-08-09T00:00:00-04:00,2024-08-09T01:00:00-04:00,2024-08-09T04:00:00+00:00,2024-08-09T05:00:00+00:00,MOD-00181,60,84.433,19.725,5.466,7.179,26.86,348.763,1.829,38.084,21.679
2024-08-09T01:00:00-04:00,2024-08-09T02:00:00-04:00,2024-08-09T05:00:00+00:00,2024-08-09T06:00:00+00:00,MOD-00181,60,86.46,19.558,4.686,6.11,58.892,329.93,1.961,34.431,23.033
2024-08-09T02:00:00-04:00,2024-08-09T03:00:00-04:00,2024-08-09T06:00:00+00:00,2024-08-09T07:00:00+00:00,MOD-00181,60,87.725,19.518,4.214,5.037,28.935,319.663,2.17,31.873,21.569
2024-08-09T03:00:00-04:00,2024-08-09T04:00:00-04:00,2024-08-09T07:00:00+00:00,2024-08-09T08:00:00+00:00,MOD-00181,60,87.442,19.653,4.299,5.528,11.151,317.088,2.143,30.608,20.123
2024-08-09T04:00:00-04:00,2024-08-09T05:00:00-04:00,2024-08-09T08:00:00+00:00,2024-08-09T09:00:00+00:00,MOD-00181,60,87.2,19.835,3.245,4.326,10.783,312.208,2.128,26.891,18.628
2024-08-09T05:00:00-04:00,2024-08-09T06:00:00-04:00,2024-08-09T09:00:00+00:00,2024-08-09T10:00:00+00:00,MOD-00181,60,87.787,19.955,4.019,4.739,13.762,323.005,2.164,29.496,16.855
2024-08-09T06:00:00-04:00,2024-08-09T07:00:00-04:00,2024-08-09T10:00:00+00:00,2024-08-09T11:00:00+00:00,MOD-00181,60,88.542,20.118,5.305,6.909,44.167,366.419,2.296,31.726,13.768
2024-08-09T07:00:00-04:00,2024-08-09T08:00:00-04:00,2024-08-09T11:00:00+00:00,2024-08-09T12:00:00+00:00,MOD-00181,60,88.872,20.457,6.08,7.872,67.789,419.129,2.318,30.17,11.335
2024-08-09T08:00:00-04:00,2024-08-09T09:00:00-04:00,2024-08-09T12:00:00+00:00,2024-08-09T13:00:00+00:00,MOD-00181,60,88.375,21.287,7.424,9.387,48.144,468.886,2.177,26.535,9.823
2024-08-09T09:00:00-04:00,2024-08-09T10:00:00-04:00,2024-08-09T13:00:00+00:00,2024-08-09T14:00:00+00:00,MOD-00181,60,85.057,22.81,8.691,10.908,18.849,531.159,1.487,38.474,7.66
2024-08-09T10:00:00-04:00,2024-08-09T11:00:00-04:00,2024-08-09T14:00:00+00:00,2024-08-09T15:00:00+00:00,MOD-00181,60,83.435,23.707,9.211,11.563,25.372,579.844,1.295,37.442,7.397
2024-08-09T11:00:00-04:00,2024-08-09T12:00:00-04:00,2024-08-09T15:00:00+00:00,2024-08-09T16:00:00+00:00,MOD-00181,60,80.688,25.693,12.916,16.197,49.063,709.965,3.136,24.348,8.367
2024-08-09T12:00:00-04:00,2024-08-09T13:00:00-04:00,2024-08-09T16:00:00+00:00,2024-08-09T17:00:00+00:00,MOD-00181,60,70.793,29.635,8.111,10.599,29.662,627.329,7.419,9.686,9.919
